# wavelength_um flux err
2.362924814224243164e+00 nan nan
2.362945079803466797e+00 nan nan
2.362965583801269531e+00 nan nan
2.362986087799072266e+00 nan nan
2.363006353378295898e+00 nan nan
2.363026857376098633e+00 nan nan
2.363047122955322266e+00 nan nan
2.363067626953125000e+00 nan nan
2.363088130950927734e+00 nan nan
2.363108396530151367e+00 nan nan
2.363128900527954102e+00 nan nan
2.363149166107177734e+00 nan nan
2.363169908523559570e+00 nan nan
2.363189935684204102e+00 nan nan
2.363210678100585938e+00 nan nan
2.363231182098388672e+00 nan nan
2.363251447677612305e+00 nan nan
2.363271951675415039e+00 nan nan
2.363292217254638672e+00 nan nan
2.363312721252441406e+00 nan nan
2.363332986831665039e+00 nan nan
2.363353490829467773e+00 1.212185382843017578e+00 7.691422104835510254e-02
2.363373756408691406e+00 1.310164570808410645e+00 5.981850624084472656e-02
2.363394260406494141e+00 1.500223636627197266e+00 6.612354516983032227e-02
2.363414525985717773e+00 1.311856627464294434e+00 6.069126352667808533e-02
2.363435029983520508e+00 1.460623979568481445e+00 1.166469007730484009e-01
2.363455295562744141e+00 1.027276277542114258e+00 7.266137748956680298e-02
2.363475799560546875e+00 8.763265013694763184e-01 8.519846200942993164e-02
2.363496065139770508e+00 1.015770316123962402e+00 5.939148738980293274e-02
2.363516569137573242e+00 9.902331233024597168e-01 9.971162676811218262e-02
2.363536834716796875e+00 7.864282131195068359e-01 6.058200821280479431e-02
2.363557338714599609e+00 9.918802380561828613e-01 7.218481600284576416e-02
2.363577604293823242e+00 1.037261128425598145e+00 6.366318464279174805e-02
2.363598108291625977e+00 1.364498853683471680e+00 6.399436295032501221e-02
2.363618373870849609e+00 1.269362330436706543e+00 4.393235594034194946e-02
2.363638877868652344e+00 1.337487578392028809e+00 9.620314836502075195e-02
2.363659143447875977e+00 1.383598327636718750e+00 9.211012721061706543e-02
2.363679647445678711e+00 1.355261206626892090e+00 5.257949605584144592e-02
2.363699913024902344e+00 1.168159842491149902e+00 1.012674868106842041e-01
2.363720178604125977e+00 7.894210219383239746e-01 5.582213401794433594e-02
2.363740682601928711e+00 7.287929654121398926e-01 8.118441700935363770e-02
2.363760948181152344e+00 9.341876506805419922e-01 7.438152283430099487e-02
2.363781452178955078e+00 1.175053000450134277e+00 7.192911952733993530e-02
2.363801717758178711e+00 1.337628960609436035e+00 6.209221109747886658e-02
2.363822221755981445e+00 1.621144652366638184e+00 7.144188880920410156e-02
2.363842487335205078e+00 1.608053207397460938e+00 7.852057367563247681e-02
2.363862752914428711e+00 1.211152672767639160e+00 7.876693457365036011e-02
2.363883256912231445e+00 7.797403931617736816e-01 7.066248357295989990e-02
2.363903522491455078e+00 1.010573387145996094e+00 6.185764819383621216e-02
2.363924026489257812e+00 9.633677005767822266e-01 7.313065230846405029e-02
2.363944292068481445e+00 1.042970895767211914e+00 7.616811245679855347e-02
2.363964557647705078e+00 9.353033900260925293e-01 7.268445193767547607e-02
2.363985061645507812e+00 4.173336923122406006e-01 7.964577525854110718e-02
2.364005327224731445e+00 1.850362569093704224e-01 7.071400433778762817e-02
2.364025831222534180e+00 4.313226640224456787e-01 1.003047898411750793e-01
2.364046096801757812e+00 6.820750832557678223e-01 7.670826464891433716e-02
2.364066362380981445e+00 1.043740630149841309e+00 5.942779034376144409e-02
2.364086866378784180e+00 1.461321592330932617e+00 9.026450663805007935e-02
2.364107131958007812e+00 1.618825793266296387e+00 1.172174438834190369e-01
2.364127397537231445e+00 1.146989464759826660e+00 1.085627675056457520e-01
2.364147901535034180e+00 1.175688505172729492e+00 9.231156110763549805e-02
2.364168167114257812e+00 1.094726443290710449e+00 8.984759449958801270e-02
2.364188432693481445e+00 1.393386960029602051e+00 8.447008579969406128e-02
2.364208936691284180e+00 1.681998252868652344e+00 1.020631864666938782e-01
2.364229202270507812e+00 1.507804751396179199e+00 7.909280806779861450e-02
2.364249467849731445e+00 1.189208865165710449e+00 5.042763426899909973e-02
2.364269971847534180e+00 1.270330667495727539e+00 1.166106313467025757e-01
2.364290237426757812e+00 1.113365173339843750e+00 4.697415605187416077e-02
2.364310503005981445e+00 1.280192494392395020e+00 5.421829968690872192e-02
2.364331007003784180e+00 1.500425815582275391e+00 5.536098778247833252e-02
2.364351272583007812e+00 1.426281809806823730e+00 6.036604940891265869e-02
2.364371538162231445e+00 1.470205545425415039e+00 9.982255101203918457e-02
2.364392042160034180e+00 1.266560435295104980e+00 8.153578639030456543e-02
2.364412307739257812e+00 1.134705066680908203e+00 8.493524789810180664e-02
2.364432573318481445e+00 7.605193257331848145e-01 4.779988899827003479e-02
2.364452838897705078e+00 6.155668497085571289e-01 6.315877288579940796e-02
2.364473342895507812e+00 8.803660273551940918e-01 8.567951619625091553e-02
2.364493608474731445e+00 1.339208722114562988e+00 7.932393252849578857e-02
2.364513874053955078e+00 1.815997362136840820e+00 6.791102886199951172e-02
2.364534378051757812e+00 1.436103940010070801e+00 5.974069610238075256e-02
2.364554643630981445e+00 1.267023444175720215e+00 3.993055969476699829e-02
2.364574909210205078e+00 1.328695654869079590e+00 8.763853460550308228e-02
2.364595174789428711e+00 1.398108720779418945e+00 5.724018812179565430e-02
2.364615678787231445e+00 1.709897518157958984e+00 1.057488620281219482e-01
2.364635944366455078e+00 nan nan
2.364656209945678711e+00 nan nan
2.364676475524902344e+00 1.080144166946411133e+00 8.044590801000595093e-02
2.364696979522705078e+00 7.620966434478759766e-01 9.776870161294937134e-02
2.364717245101928711e+00 8.369849324226379395e-01 8.109067380428314209e-02
2.364737510681152344e+00 1.301103949546813965e+00 4.552972316741943359e-02
2.364757776260375977e+00 1.486472964286804199e+00 6.513526290655136108e-02
2.364778041839599609e+00 1.641985297203063965e+00 7.801659405231475830e-02
2.364798545837402344e+00 1.431921601295471191e+00 6.989727169275283813e-02
2.364818811416625977e+00 1.105261445045471191e+00 6.220870465040206909e-02
2.364839076995849609e+00 9.672231674194335938e-01 8.388411998748779297e-02
2.364859342575073242e+00 6.947361230850219727e-01 6.855475902557373047e-02
2.364879608154296875e+00 7.508976459503173828e-01 7.880410552024841309e-02
2.364900112152099609e+00 1.011227369308471680e+00 7.683438062667846680e-02
2.364920377731323242e+00 1.281084299087524414e+00 8.789655566215515137e-02
2.364940643310546875e+00 1.119590163230895996e+00 8.490374684333801270e-02
2.364960908889770508e+00 7.190001606941223145e-01 6.565114110708236694e-02
2.364981174468994141e+00 4.004108309745788574e-01 1.208091825246810913e-01
2.365001440048217773e+00 3.128534853458404541e-01 3.818411380052566528e-02
2.365021944046020508e+00 5.611812472343444824e-01 7.759460806846618652e-02
2.365042209625244141e+00 1.087508440017700195e+00 6.316079944372177124e-02
2.365062475204467773e+00 1.217584013938903809e+00 6.770791858434677124e-02
2.365082740783691406e+00 1.101444721221923828e+00 5.757118016481399536e-02
2.365103006362915039e+00 3.558717072010040283e-01 6.998543441295623779e-02
2.365123271942138672e+00 1.231450214982032776e-01 9.345935285091400146e-02
2.365143537521362305e+00 5.905747413635253906e-01 6.627722829580307007e-02
2.365164041519165039e+00 1.107464313507080078e+00 7.889280468225479126e-02
2.365184307098388672e+00 1.537819623947143555e+00 7.959230244159698486e-02
2.365204572677612305e+00 1.483600378036499023e+00 6.542371958494186401e-02
2.365224838256835938e+00 1.301040649414062500e+00 7.546871900558471680e-02
2.365245103836059570e+00 1.208778142929077148e+00 7.168859243392944336e-02
