# wavelength_um flux err
2.294470787048339844e+00 1.362974524497985840e+00 4.371638968586921692e-02
2.294490575790405273e+00 1.270870685577392578e+00 4.895607754588127136e-02
2.294510126113891602e+00 1.196903824806213379e+00 4.361035302281379700e-02
2.294529676437377930e+00 1.158716320991516113e+00 4.455700516700744629e-02
2.294549465179443359e+00 1.046038508415222168e+00 2.752797119319438934e-02
2.294569015502929688e+00 1.125342249870300293e+00 4.719339311122894287e-02
2.294588804244995117e+00 1.096256971359252930e+00 2.905799262225627899e-02
2.294608354568481445e+00 8.576126694679260254e-01 4.837986826896667480e-02
2.294627904891967773e+00 6.451097130775451660e-01 3.939617797732353210e-02
2.294647455215454102e+00 8.382418751716613770e-01 3.938584029674530029e-02
2.294667005538940430e+00 1.172130346298217773e+00 3.701277449727058411e-02
2.294686555862426758e+00 1.337476491928100586e+00 3.413533791899681091e-02
2.294706344604492188e+00 1.311178684234619141e+00 4.272505640983581543e-02
2.294725894927978516e+00 1.146384239196777344e+00 3.771448135375976562e-02
2.294745683670043945e+00 1.038657546043395996e+00 4.856136441230773926e-02
2.294765233993530273e+00 1.172104477882385254e+00 3.816530108451843262e-02
2.294784784317016602e+00 1.199729800224304199e+00 3.776504099369049072e-02
2.294804573059082031e+00 1.281118988990783691e+00 4.870879650115966797e-02
2.294824123382568359e+00 1.327682614326477051e+00 4.425879567861557007e-02
2.294843673706054688e+00 1.162370800971984863e+00 3.891655057668685913e-02
2.294863462448120117e+00 1.038877248764038086e+00 2.681919187307357788e-02
2.294883012771606445e+00 1.143210530281066895e+00 3.884147852659225464e-02
2.294902563095092773e+00 8.498935699462890625e-01 2.533798478543758392e-02
2.294921875000000000e+00 9.455677866935729980e-01 3.101143427193164825e-02
2.294941663742065430e+00 1.072890996932983398e+00 2.721946686506271362e-02
2.294961214065551758e+00 1.126415729522705078e+00 3.844695910811424255e-02
2.294980764389038086e+00 8.581305146217346191e-01 3.796389698982238770e-02
2.295000553131103516e+00 6.112263202667236328e-01 4.384782910346984863e-02
2.295020103454589844e+00 5.751271247863769531e-01 5.615660548210144043e-02
2.295039653778076172e+00 9.167928695678710938e-01 4.508964344859123230e-02
2.295059204101562500e+00 1.133362650871276855e+00 3.298102691769599915e-02
2.295078992843627930e+00 1.267735958099365234e+00 2.921509929001331329e-02
2.295098543167114258e+00 1.468306541442871094e+00 4.047533497214317322e-02
2.295118093490600586e+00 1.478280067443847656e+00 4.696118831634521484e-02
2.295137882232666016e+00 1.173516869544982910e+00 3.568815439939498901e-02
2.295157432556152344e+00 9.821972250938415527e-01 4.573049768805503845e-02
2.295176982879638672e+00 9.436501264572143555e-01 5.810076370835304260e-02
2.295196294784545898e+00 1.012128591537475586e+00 3.432898223400115967e-02
2.295216083526611328e+00 1.199495911598205566e+00 2.705567702651023865e-02
2.295235633850097656e+00 1.560553312301635742e+00 4.054285213351249695e-02
2.295255184173583984e+00 1.489564299583435059e+00 4.420440644025802612e-02
2.295274734497070312e+00 1.417014002799987793e+00 4.404892027378082275e-02
2.295294284820556641e+00 1.140123248100280762e+00 5.378681421279907227e-02
2.295314073562622070e+00 8.236087560653686523e-01 3.353223577141761780e-02
2.295333623886108398e+00 8.975253105163574219e-01 5.401028692722320557e-02
