# wavelength_um flux err
2.223843097686767578e+00 nan nan
2.223862171173095703e+00 nan nan
2.223881483078002930e+00 nan nan
2.223900794982910156e+00 nan nan
2.223919868469238281e+00 nan nan
2.223939180374145508e+00 nan nan
2.223958253860473633e+00 nan nan
2.223977565765380859e+00 nan nan
2.223996639251708984e+00 nan nan
2.224015951156616211e+00 nan nan
2.224035263061523438e+00 nan nan
2.224054336547851562e+00 nan nan
2.224073648452758789e+00 nan nan
2.224092960357666016e+00 nan nan
2.224112272262573242e+00 nan nan
2.224131107330322266e+00 nan nan
2.224150419235229492e+00 nan nan
2.224169731140136719e+00 nan nan
2.224188804626464844e+00 nan nan
2.224208116531372070e+00 nan nan
2.224227428436279297e+00 nan nan
2.224246501922607422e+00 9.579018354415893555e-01 2.362047694623470306e-02
2.224265813827514648e+00 9.378073811531066895e-01 2.410091459751129150e-02
2.224285125732421875e+00 9.268749952316284180e-01 3.025279194116592407e-02
2.224303960800170898e+00 1.057367801666259766e+00 2.277297899127006531e-02
2.224323272705078125e+00 1.119260311126708984e+00 1.523079443722963333e-02
2.224342346191406250e+00 1.121058464050292969e+00 2.503097616136074066e-02
2.224361658096313477e+00 1.125135421752929688e+00 1.604059152305126190e-02
2.224380970001220703e+00 1.074035406112670898e+00 1.891068927943706512e-02
2.224400043487548828e+00 1.027988672256469727e+00 2.875680290162563324e-02
2.224419355392456055e+00 1.002453923225402832e+00 2.113461866974830627e-02
2.224438667297363281e+00 1.046546697616577148e+00 3.094047494232654572e-02
2.224457740783691406e+00 1.077956676483154297e+00 2.227181009948253632e-02
2.224476814270019531e+00 1.116967678070068359e+00 1.953676529228687286e-02
2.224495887756347656e+00 1.052853226661682129e+00 1.904105022549629211e-02
2.224515199661254883e+00 1.102321267127990723e+00 1.512340828776359558e-02
2.224534511566162109e+00 1.056610465049743652e+00 1.713901571929454803e-02
2.224553585052490234e+00 1.051172852516174316e+00 1.514591649174690247e-02
2.224572896957397461e+00 1.006329536437988281e+00 2.399422973394393921e-02
2.224591970443725586e+00 1.046633839607238770e+00 2.009867690503597260e-02
2.224611282348632812e+00 1.002012372016906738e+00 1.990539021790027618e-02
2.224630594253540039e+00 9.905883073806762695e-01 2.533864602446556091e-02
2.224649429321289062e+00 9.875034689903259277e-01 1.782665029168128967e-02
2.224668741226196289e+00 1.009002447128295898e+00 1.871113106608390808e-02
2.224687814712524414e+00 1.031249046325683594e+00 1.663627661764621735e-02
2.224707126617431641e+00 1.030491590499877930e+00 1.732584275305271149e-02
2.224726200103759766e+00 1.093672275543212891e+00 2.710046432912349701e-02
2.224745512008666992e+00 1.071115612983703613e+00 2.283118292689323425e-02
2.224764585494995117e+00 1.003723144531250000e+00 1.871217973530292511e-02
2.224783897399902344e+00 9.455733299255371094e-01 2.468006499111652374e-02
2.224802970886230469e+00 9.243840575218200684e-01 2.177283726632595062e-02
2.224822044372558594e+00 9.658066630363464355e-01 9.759400039911270142e-03
2.224841356277465820e+00 1.094031214714050293e+00 2.160532958805561066e-02
2.224860429763793945e+00 1.179538130760192871e+00 1.507138088345527649e-02
2.224879741668701172e+00 1.211937904357910156e+00 2.390032075345516205e-02
2.224898815155029297e+00 1.107462406158447266e+00 2.147723361849784851e-02
2.224918127059936523e+00 1.069595694541931152e+00 1.413866039365530014e-02
2.224937200546264648e+00 1.100930094718933105e+00 2.759813517332077026e-02
2.224956512451171875e+00 9.986541867256164551e-01 2.154582366347312927e-02
2.224975347518920898e+00 9.657421708106994629e-01 1.900191791355609894e-02
2.224994659423828125e+00 9.069110751152038574e-01 2.446361631155014038e-02
2.225013732910156250e+00 9.377469420433044434e-01 2.012081630527973175e-02
2.225033044815063477e+00 9.984607696533203125e-01 1.987125538289546967e-02
2.225052118301391602e+00 1.016219496726989746e+00 1.662972383201122284e-02
2.225071430206298828e+00 1.026298046112060547e+00 1.675503142178058624e-02
2.225090503692626953e+00 1.033353328704833984e+00 2.100314386188983917e-02
2.225109815597534180e+00 1.051258444786071777e+00 2.411977946758270264e-02
2.225128650665283203e+00 1.076473832130432129e+00 1.687684282660484314e-02
2.225147724151611328e+00 1.071309566497802734e+00 2.798814512789249420e-02
2.225167036056518555e+00 1.116142630577087402e+00 2.519763633608818054e-02
2.225186109542846680e+00 1.102873086929321289e+00 2.541708946228027344e-02
2.225205421447753906e+00 1.121791720390319824e+00 2.082883939146995544e-02
2.225224494934082031e+00 1.079885959625244141e+00 1.306994352489709854e-02
2.225243806838989258e+00 1.048116087913513184e+00 1.910855807363986969e-02
2.225262880325317383e+00 1.015875816345214844e+00 2.002784796059131622e-02
2.225282192230224609e+00 1.001608967781066895e+00 1.556626055389642715e-02
2.225301027297973633e+00 1.039911985397338867e+00 2.239651419222354889e-02
2.225320100784301758e+00 1.026032567024230957e+00 2.399827167391777039e-02
2.225339412689208984e+00 1.034553527832031250e+00 1.670817285776138306e-02
2.225358486175537109e+00 1.059140682220458984e+00 1.587717048823833466e-02
2.225377798080444336e+00 1.016113996505737305e+00 2.109191939234733582e-02
2.225396871566772461e+00 1.046948909759521484e+00 1.716070622205734253e-02
2.225415945053100586e+00 1.139910936355590820e+00 1.872434094548225403e-02
2.225435256958007812e+00 1.123497366905212402e+00 1.967837847769260406e-02
2.225454092025756836e+00 1.098654985427856445e+00 2.070200070738792419e-02
2.225473403930664062e+00 1.148760199546813965e+00 2.379219420254230499e-02
2.225492477416992188e+00 1.133107542991638184e+00 1.530091185122728348e-02
2.225511550903320312e+00 1.153961300849914551e+00 2.129342406988143921e-02
2.225530862808227539e+00 1.144155859947204590e+00 2.111184224486351013e-02
2.225549936294555664e+00 1.133435845375061035e+00 2.533464878797531128e-02
2.225569248199462891e+00 1.115831494331359863e+00 2.439745888113975525e-02
2.225588321685791016e+00 1.043389081954956055e+00 2.253597229719161987e-02
2.225607395172119141e+00 1.047005176544189453e+00 2.501810900866985321e-02
