# wavelength_um flux err
2.043407917022705078e+00 nan nan
2.043425559997558594e+00 nan nan
2.043443202972412109e+00 nan nan
2.043460845947265625e+00 nan nan
2.043478727340698242e+00 nan nan
2.043496370315551758e+00 nan nan
2.043514013290405273e+00 nan nan
2.043531656265258789e+00 nan nan
2.043549299240112305e+00 nan nan
2.043566942214965820e+00 nan nan
2.043584585189819336e+00 nan nan
2.043602228164672852e+00 nan nan
2.043619871139526367e+00 nan nan
2.043637752532958984e+00 nan nan
2.043655395507812500e+00 nan nan
2.043673038482666016e+00 nan nan
2.043690681457519531e+00 nan nan
2.043708324432373047e+00 nan nan
2.043725967407226562e+00 nan nan
2.043743610382080078e+00 nan nan
2.043761253356933594e+00 nan nan
2.043778896331787109e+00 9.749628901481628418e-01 2.512184344232082367e-02
2.043796539306640625e+00 9.793584346771240234e-01 1.152640674263238907e-02
2.043814420700073242e+00 1.013322949409484863e+00 1.771583966910839081e-02
2.043831825256347656e+00 8.589628338813781738e-01 2.306367270648479462e-02
2.043849468231201172e+00 7.816118001937866211e-01 1.508486550301313400e-02
2.043867111206054688e+00 8.922338485717773438e-01 2.056440524756908417e-02
2.043884754180908203e+00 9.138409495353698730e-01 1.614620536565780640e-02
2.043902635574340820e+00 8.605530858039855957e-01 1.944274455308914185e-02
2.043920040130615234e+00 8.635535836219787598e-01 1.209418848156929016e-02
2.043937921524047852e+00 9.073474407196044922e-01 1.833719946444034576e-02
2.043955326080322266e+00 9.919171333312988281e-01 2.502544037997722626e-02
2.043973207473754883e+00 1.003328084945678711e+00 2.025941014289855957e-02
2.043990850448608398e+00 9.139820933341979980e-01 1.824759878218173981e-02
2.044008493423461914e+00 6.991828083992004395e-01 1.968735083937644958e-02
2.044026136398315430e+00 7.371179461479187012e-01 1.597792096436023712e-02
2.044043779373168945e+00 7.310628890991210938e-01 1.741896569728851318e-02
2.044061422348022461e+00 8.530748486518859863e-01 1.180020626634359360e-02
2.044079065322875977e+00 9.206597805023193359e-01 1.151471026241779327e-02
2.044096708297729492e+00 8.813641667366027832e-01 1.944800466299057007e-02
2.044114351272583008e+00 7.951574325561523438e-01 1.800762861967086792e-02
2.044131994247436523e+00 6.853859424591064453e-01 2.021450549364089966e-02
2.044149398803710938e+00 6.686559915542602539e-01 1.557192299515008926e-02
2.044167280197143555e+00 7.130233645439147949e-01 1.798953860998153687e-02
2.044184684753417969e+00 6.868943572044372559e-01 1.519341859966516495e-02
2.044202566146850586e+00 6.219317913055419922e-01 1.520810369402170181e-02
2.044219970703125000e+00 6.059933900833129883e-01 1.999525167047977448e-02
2.044237852096557617e+00 7.200389504432678223e-01 1.749771088361740112e-02
2.044255256652832031e+00 8.118773698806762695e-01 1.411559432744979858e-02
2.044273138046264648e+00 7.800162434577941895e-01 1.804549060761928558e-02
2.044290542602539062e+00 7.786653637886047363e-01 1.580151543021202087e-02
2.044308185577392578e+00 8.457903265953063965e-01 2.613031864166259766e-02
2.044325828552246094e+00 9.163215756416320801e-01 1.679204776883125305e-02
2.044343471527099609e+00 9.143696427345275879e-01 1.521665323525667191e-02
2.044361114501953125e+00 9.268050789833068848e-01 1.821769401431083679e-02
2.044378757476806641e+00 8.890131711959838867e-01 2.039203047752380371e-02
2.044396400451660156e+00 9.173493981361389160e-01 1.135603059083223343e-02
2.044414043426513672e+00 8.710472583770751953e-01 1.729315146803855896e-02
2.044431686401367188e+00 7.243458032608032227e-01 1.697862893342971802e-02
2.044449329376220703e+00 6.494113206863403320e-01 1.477924082428216934e-02
2.044466972351074219e+00 8.492019176483154297e-01 1.475421059876680374e-02
2.044484376907348633e+00 9.653107523918151855e-01 1.793241128325462341e-02
2.044502258300781250e+00 9.271754622459411621e-01 2.017265371978282928e-02
2.044519662857055664e+00 1.026292800903320312e+00 1.396457944065332413e-02
2.044537305831909180e+00 1.178646564483642578e+00 1.813224889338016510e-02
2.044554948806762695e+00 1.132406353950500488e+00 1.558520179241895676e-02
2.044572591781616211e+00 1.031527161598205566e+00 1.630416139960289001e-02
2.044590234756469727e+00 7.955188155174255371e-01 2.402384579181671143e-02
2.044607877731323242e+00 7.242841720581054688e-01 2.373587340116500854e-02
2.044625520706176758e+00 7.555715441703796387e-01 1.780023984611034393e-02
2.044642925262451172e+00 7.209950089454650879e-01 1.555813569575548172e-02
2.044660568237304688e+00 6.309205889701843262e-01 1.683246530592441559e-02
2.044678211212158203e+00 5.426852107048034668e-01 1.289940066635608673e-02
2.044695854187011719e+00 6.377582550048828125e-01 1.060253661125898361e-02
2.044713497161865234e+00 8.336849212646484375e-01 2.087621949613094330e-02
2.044731140136718750e+00 9.693818688392639160e-01 1.487700454890727997e-02
2.044748783111572266e+00 8.921464085578918457e-01 1.791865564882755280e-02
2.044766426086425781e+00 7.874951958656311035e-01 1.696588657796382904e-02
2.044783830642700195e+00 8.074321150779724121e-01 1.965079270303249359e-02
2.044801473617553711e+00 9.124667048454284668e-01 1.434006448835134506e-02
2.044819116592407227e+00 9.557989239692687988e-01 1.856039278209209442e-02
2.044836759567260742e+00 9.480236768722534180e-01 1.851798221468925476e-02
2.044854402542114258e+00 9.407560825347900391e-01 1.950193196535110474e-02
2.044871807098388672e+00 8.803901672363281250e-01 1.729290746152400970e-02
2.044889450073242188e+00 8.001053929328918457e-01 1.367997564375400543e-02
2.044907093048095703e+00 7.653290629386901855e-01 2.413138374686241150e-02
2.044924736022949219e+00 6.840847134590148926e-01 1.830867491662502289e-02
2.044942378997802734e+00 7.836546301841735840e-01 1.242253091186285019e-02
2.044960021972656250e+00 9.560501575469970703e-01 1.870241202414035797e-02
2.044977426528930664e+00 9.280632138252258301e-01 1.671183295547962189e-02
2.044995069503784180e+00 7.885391712188720703e-01 1.906116120517253876e-02
2.045012712478637695e+00 7.313020229339599609e-01 1.687120273709297180e-02
2.045030355453491211e+00 7.628690600395202637e-01 1.552698574960231781e-02
2.045047760009765625e+00 8.232457041740417480e-01 1.797614619135856628e-02
2.045065402984619141e+00 8.714452385902404785e-01 1.553199905902147293e-02
2.045083045959472656e+00 1.007317423820495605e+00 1.281268708407878876e-02
2.045100688934326172e+00 1.069507837295532227e+00 1.272950600832700729e-02
2.045118331909179688e+00 9.289975166320800781e-01 1.448545604944229126e-02
2.045135736465454102e+00 7.950807809829711914e-01 1.487555261701345444e-02
2.045153379440307617e+00 7.991355657577514648e-01 1.267175190150737762e-02
2.045171022415161133e+00 9.530548453330993652e-01 1.237883232533931732e-02
2.045188665390014648e+00 1.125529646873474121e+00 1.618327014148235321e-02
2.045206069946289062e+00 1.079786181449890137e+00 2.162158861756324768e-02
2.045223712921142578e+00 1.010831356048583984e+00 2.162391506135463715e-02
2.045241355895996094e+00 9.376509785652160645e-01 2.287810854613780975e-02
2.045258998870849609e+00 1.028868436813354492e+00 1.437404192984104156e-02
2.045276403427124023e+00 1.118291497230529785e+00 1.638211496174335480e-02
2.045294046401977539e+00 1.152314066886901855e+00 1.253426540642976761e-02
2.045311689376831055e+00 1.140955209732055664e+00 2.002004347741603851e-02
2.045329093933105469e+00 1.081061720848083496e+00 1.979196816682815552e-02
2.045346736907958984e+00 1.025868058204650879e+00 1.452772971242666245e-02
2.045364379882812500e+00 8.910377621650695801e-01 1.284596696496009827e-02
2.045382022857666016e+00 8.303188681602478027e-01 1.656273379921913147e-02
2.045399427413940430e+00 6.775317192077636719e-01 1.425699237734079361e-02
2.045417070388793945e+00 5.086223483085632324e-01 1.473154127597808838e-02
2.045434713363647461e+00 5.167912244796752930e-01 1.610069163143634796e-02
2.045452117919921875e+00 7.198824286460876465e-01 1.501042395830154419e-02
2.045469760894775391e+00 8.892758488655090332e-01 1.331773586571216583e-02
2.045487165451049805e+00 9.853842854499816895e-01 1.347164530307054520e-02
2.045504808425903320e+00 9.735421538352966309e-01 1.193046756088733673e-02
2.045522451400756836e+00 9.368116259574890137e-01 1.368930004537105560e-02
2.045540094375610352e+00 9.413270354270935059e-01 1.762842945754528046e-02
2.045557498931884766e+00 9.613345861434936523e-01 1.290479861199855804e-02
2.045575141906738281e+00 8.493640422821044922e-01 2.251884527504444122e-02
2.045592784881591797e+00 7.978721857070922852e-01 1.348646171391010284e-02
2.045610189437866211e+00 7.718871235847473145e-01 1.816788688302040100e-02
2.045627832412719727e+00 8.875125050544738770e-01 1.517942361533641815e-02
2.045645475387573242e+00 9.275428056716918945e-01 1.548505667597055435e-02
2.045662879943847656e+00 9.799150228500366211e-01 1.620157063007354736e-02
2.045680522918701172e+00 8.966599106788635254e-01 1.726547814905643463e-02
2.045698165893554688e+00 7.369084358215332031e-01 1.171280723065137863e-02
2.045715570449829102e+00 6.287785768508911133e-01 1.716952212154865265e-02
2.045733213424682617e+00 6.149806380271911621e-01 1.990648545324802399e-02
2.045750617980957031e+00 7.626926898956298828e-01 1.603756658732891083e-02
2.045768260955810547e+00 9.592056274414062500e-01 1.660410687327384949e-02
2.045785665512084961e+00 1.038832306861877441e+00 1.807092688977718353e-02
2.045803308486938477e+00 1.037969470024108887e+00 1.602880284190177917e-02
2.045820951461791992e+00 1.017830252647399902e+00 1.590252295136451721e-02
2.045838594436645508e+00 9.196572303771972656e-01 1.403901446610689163e-02
2.045855998992919922e+00 8.567311167716979980e-01 1.378199271857738495e-02
2.045873403549194336e+00 7.905069589614868164e-01 1.285445969551801682e-02
2.045891046524047852e+00 6.680474281311035156e-01 1.512611098587512970e-02
2.045908689498901367e+00 6.429803371429443359e-01 1.572537422180175781e-02
2.045926094055175781e+00 8.650072813034057617e-01 1.719948276877403259e-02
2.045943737030029297e+00 1.125479936599731445e+00 1.259291265159845352e-02
2.045961380004882812e+00 1.173691987991333008e+00 1.805782318115234375e-02
2.045978784561157227e+00 1.076345920562744141e+00 1.212907675653696060e-02
2.045996427536010742e+00 9.671176671981811523e-01 2.104433812201023102e-02
2.046013832092285156e+00 1.008276343345642090e+00 1.461973506957292557e-02
2.046031236648559570e+00 1.052502036094665527e+00 1.700744591653347015e-02
2.046048879623413086e+00 1.011227846145629883e+00 1.537023857235908508e-02
